hip,ra_degrees,dec_degrees,k,vmag,angular_diameter_mas
90687,277.5493464,-18.72857432,5000.0,5.63,8.1523
90762,277.76861912,16.92860639,9500.0,5.76,2.134
90763,277.77018839,-32.9890014,8750.0,5.37,3.0061
90797,277.84344394,-62.27819116,14000.0,4.63,1.6552
90804,277.8570535,-10.79579343,26000.0,5.77,0.2845
90806,277.85958633,-18.40264541,12000.0,5.12,1.7825
90830,277.93931691,-45.9147436,18000.0,4.92,0.8785
90842,277.98426606,-43.50736445,4700.0,5.71,8.9691
90844,277.98745241,-1.00296614,9000.0,5.93,2.2035
90853,278.00810133,-45.7573539,24000.0,5.07,0.4617
90887,278.08877815,-39.70390941,9250.0,5.16,2.9465
90905,278.14384287,57.04561627,6450.0,4.77,7.3531
90913,278.18050927,-14.8656543,4550.0,5.47,10.6891
90915,278.19227861,23.61677633,4250.0,5.88,10.1278
90923,278.20812019,30.55418062,14000.0,5.47,1.1218
90930,278.23053953,-73.96538378,5000.0,5.88,7.2802
90968,278.34638866,-38.72593259,12000.0,5.67,1.4025
90982,278.37566714,-42.31245871,5500.0,4.62,10.8074
90991,278.41251698,-14.85359142,10000.0,5.74,1.929
91004,278.47286565,-24.03226534,4550.0,5.49,10.6083
91013,278.48624439,52.35350951,5000.0,5.38,9.2121
91014,278.4906866,-33.01653262,26000.0,5.28,0.3577
91105,278.75984804,-10.97719406,5200.0,5.12,9.5315
91117,278.80182442,-8.24330819,4700.0,3.85,20.7816
91118,278.80245637,18.20339202,10000.0,5.79,1.9054
91139,278.87664511,23.6055287,5200.0,5.62,7.606
91217,279.1159838,9.12281663,6750.0,5.38,4.9448
91235,279.15562439,33.46903738,14000.0,5.41,1.1564
91237,279.16288632,6.67215598,7050.0,5.43,4.4034
91262,279.23410832,38.78299311,10000.0,0.03,23.6665
91315,279.38963009,62.52646287,10000.0,5.74,1.9442
91322,279.39981039,-0.30942411,9500.0,5.76,2.1401
91347,279.47678201,-21.39756504,8750.0,5.93,2.3202
91405,279.62798112,-23.5048456,14000.0,5.78,0.9745
91438,279.72269706,-21.05150199,5500.0,5.85,5.6826
91461,279.80946248,-47.90980354,9250.0,5.84,2.1651
91494,279.89660339,-43.18577561,3200.0,5.42,22.0824
